model,mean_fold_mae,std_fold_mae,mean_fold_r2,std_fold_r2,pooled_oof_mae,pooled_oof_r2
Ridge,0.3783680886494477,0.07717773263600489,0.9752039501032523,0.025235148276251937,0.3611393212856142,0.9867577528601105
Random forest,0.46671552793937515,0.30940201309478305,0.9547850523131999,0.06525551443204616,0.4277198585895467,0.9803328260897174
Mean baseline,3.4132792792792794,1.0022772142445289,-0.29438765469143313,0.45018809960446393,3.4027353440396917,-0.046991980703684266
