trial,method,candidate_indices,selected_global_indices,built_edges,trains_used,tickets_connected,candidate_tickets,unconnected_candidates,ticket_coverage_rate,candidate_ticket_points,unconnected_candidate_points,printed_points_coverage_rate,predicted_ticket_value,printed_ticket_points,route_points,total_points,ticket_points_per_train,total_points_per_train,points_per_train,mean_blocked_ticket_points,worst_blocked_ticket_points,mean_blocked_retention,worst_blocked_retention
88,Original baseline,"3,6,10,11,19,20,25,31,32,33,38,43","38,6,31,33,3,43,19,20",Amsterdam--Bruxelles | Amsterdam--Essen | Amsterdam--London | Athina--Smyrna | Athina--Sofia | Berlin--Danzic | Berlin--Essen | Berlin--Wien | Bruxelles--Paris | Bucuresti--Budapest | Bucuresti--Kyiv | Bucuresti--Sofia | Budapest--Wien | Edinburgh--London | Kyiv--Wilno | Petrograd--Wilno | Wien--Zagrab,44.0,8.0,12.0,4.0,0.6666666666666666,103.0,29.0,0.7184466019417476,74.0,74.0,60.0,134.0,1.6818181818181819,3.0454545454545454,3.0454545454545454,73.0,69.0,0.9864864864864865,0.9324324324324325
88,Learned revised,"3,6,10,11,19,20,25,31,32,33,38,43","38,6,31,33,3,43,19,20",Amsterdam--Bruxelles | Amsterdam--Essen | Amsterdam--London | Athina--Smyrna | Athina--Sofia | Berlin--Danzic | Berlin--Essen | Berlin--Wien | Bruxelles--Paris | Bucuresti--Budapest | Bucuresti--Kyiv | Bucuresti--Sofia | Budapest--Wien | Edinburgh--London | Kyiv--Wilno | Petrograd--Wilno | Wien--Zagrab,44.0,8.0,12.0,4.0,0.6666666666666666,103.0,29.0,0.7184466019417476,74.18843798053061,74.0,60.0,134.0,1.6818181818181819,3.0454545454545454,3.0454545454545454,73.0,69.0,0.9864864864864865,0.9324324324324325
89,Original baseline,"1,9,14,19,26,30,32,33,35,36,38,40","14,30,40,35,9,19,38",Angora--Constantinople | Athina--Palermo | Athina--Smyrna | Berlin--Frankfurt | Berlin--Warzawa | Bruxelles--Frankfurt | Bucuresti--Constantinople | Bucuresti--Kyiv | Constantinople--Smyrna | Danzic--Warzawa | Kyiv--Smolensk | Kyiv--Warzawa | Moskva--Petrograd | Moskva--Smolensk,43.0,7.0,12.0,5.0,0.5833333333333334,101.0,34.0,0.6633663366336634,67.0,67.0,67.0,134.0,1.558139534883721,3.116279069767442,3.116279069767442,56.0,34.0,0.835820895522388,0.5074626865671642
89,Learned revised,"1,9,14,19,26,30,32,33,35,36,38,40","38,40,14,30,33,9,35",Angora--Constantinople | Athina--Palermo | Athina--Sofia | Bucuresti--Budapest | Bucuresti--Kyiv | Bucuresti--Sofia | Budapest--Wien | Constantinople--Sofia | Frankfurt--Munchen | Kyiv--Wilno | Moskva--Petrograd | Moskva--Smolensk | Munchen--Wien | Petrograd--Wilno | Warzawa--Wilno,45.0,7.0,12.0,5.0,0.5833333333333334,101.0,38.0,0.6237623762376238,61.60760184596988,63.0,70.0,133.0,1.4,2.9555555555555557,2.9555555555555557,60.4,50.0,0.9587301587301587,0.7936507936507936
90,Original baseline,"4,7,14,20,23,24,26,29,33,39,40,41","14,40,4,26,29,23",Athina--Palermo | Athina--Smyrna | Brest--Paris | Bucuresti--Constantinople | Bucuresti--Kyiv | Constantinople--Smyrna | Kharkov--Kyiv | Kharkov--Rostov | Kyiv--Smolensk | Kyiv--Wilno | Marseille--Paris | Moskva--Smolensk | Riga--Wilno | Rostov--Sochi,43.0,6.0,12.0,6.0,0.5,118.0,57.0,0.5169491525423728,61.0,61.0,67.0,128.0,1.4186046511627908,2.9767441860465116,2.9767441860465116,55.4,33.0,0.9081967213114754,0.5409836065573771
90,Learned revised,"4,7,14,20,23,24,26,29,33,39,40,41","23,14,40,41,4",Athina--Palermo | Athina--Smyrna | Brest--Paris | Bucuresti--Constantinople | Bucuresti--Kyiv | Constantinople--Smyrna | Kyiv--Smolensk | Marseille--Paris | Marseille--Roma | Moskva--Petrograd | Moskva--Smolensk | Palermo--Roma | Petrograd--Riga,45.0,5.0,12.0,7.0,0.4166666666666667,118.0,53.0,0.5508474576271186,64.51346166315253,65.0,75.0,140.0,1.4444444444444444,3.111111111111111,3.111111111111111,55.4,17.0,0.8523076923076923,0.26153846153846155
91,Original baseline,"0,3,14,17,23,25,26,30,31,32,37,41","14,30,0,31,37,23,17,25",Amsterdam--Bruxelles | Amsterdam--Essen | Angora--Constantinople | Athina--Palermo | Athina--Smyrna | Athina--Sofia | Barcelona--Marseille | Brest--Paris | Brindisi--Roma | Bruxelles--Paris | Constantinople--Smyrna | Marseille--Paris | Palermo--Roma | Roma--Venezia | Venezia--Zagrab,42.0,8.0,12.0,4.0,0.6666666666666666,100.0,43.0,0.57,57.0,57.0,63.0,120.0,1.3571428571428572,2.857142857142857,2.857142857142857,51.4,29.0,0.9017543859649123,0.5087719298245614
91,Learned revised,"0,3,14,17,23,25,26,30,31,32,37,41","23,17,25,41,3,14",Amsterdam--Bruxelles | Amsterdam--Essen | Athina--Palermo | Athina--Smyrna | Barcelona--Marseille | Berlin--Danzic | Berlin--Essen | Brest--Paris | Bruxelles--Paris | Constantinople--Smyrna | Danzic--Riga | Danzic--Warzawa | Kyiv--Warzawa | Marseille--Paris | Petrograd--Riga,45.0,6.0,12.0,6.0,0.5,100.0,39.0,0.61,60.977709767304376,61.0,70.0,131.0,1.3555555555555556,2.911111111111111,2.911111111111111,59.4,53.0,0.9737704918032787,0.8688524590163934
92,Original baseline,"3,6,9,10,15,18,21,28,36,39,40,41","3,9,41,40,18,10",Athina--Palermo | Athina--Smyrna | Berlin--Essen | Berlin--Warzawa | Brest--Paris | Essen--Frankfurt | Frankfurt--Munchen | Frankfurt--Paris | Kyiv--Smolensk | Kyiv--Warzawa | Moskva--Petrograd | Moskva--Smolensk | Munchen--Venezia | Palermo--Roma | Roma--Venezia,45.0,6.0,12.0,6.0,0.5,126.0,46.0,0.6349206349206349,80.0,80.0,69.0,149.0,1.7777777777777777,3.311111111111111,3.311111111111111,72.6,51.0,0.9075,0.6375
92,Learned revised,"3,6,9,10,15,18,21,28,36,39,40,41","21,15,3,9,41,18",Amsterdam--Bruxelles | Berlin--Essen | Berlin--Warzawa | Brest--Dieppe | Bruxelles--Frankfurt | Bruxelles--Paris | Dieppe--Paris | Essen--Frankfurt | Frankfurt--Munchen | Kyiv--Smolensk | Kyiv--Warzawa | Madrid--Pamplona | Moskva--Petrograd | Moskva--Smolensk | Munchen--Venezia | Pamplona--Paris | Roma--Venezia,42.0,6.0,12.0,6.0,0.5,126.0,59.0,0.5317460317460317,68.53354928653764,67.0,56.0,123.0,1.5952380952380953,2.9285714285714284,2.9285714285714284,62.2,52.0,0.9283582089552239,0.7761194029850746
